Sample,Wt,FLF tin,FLF tin + dry,OLF tin,OLF tin + dry,DF tin,DF tin + dry,FLF,OLF,FLF + OLF,DF,%FLF + OLF,%DF,sum,% recovery
12C,5.2221,2.3635,2.7546,2.4067,2.509,3.1013,7.9048,0.3911,0.1023,0.4934,4.8035,9.448306237,91.98406771,5.2969,101.4323739
13C,5.2912,2.3818,2.9187,2.3906,2.5489,3.0597,7.705,0.5369,0.1583,0.6952,4.6453,13.13879649,87.79293922,5.3405,100.9317357
16C,4.6645,2.3692,2.6205,2.3177,2.4329,3.0638,7.403,0.2513,0.1152,0.3665,4.3392,7.857219423,93.02604781,4.7057,100.8832672
17C,5.274,2.3652,2.6679,2.3211,2.3927,3.0844,8.067,0.3027,0.0716,0.3743,4.9826,7.097080015,94.47478195,5.3569,101.571862
27C,5.1149,2.3751,2.6209,2.3241,2.4484,3.0958,7.9648,0.2458,0.1243,0.3701,4.869,7.235723084,95.19247688,5.2391,102.4282
28C,5.1364,2.3845,2.9688,2.3281,2.4662,3.0685,7.5334,0.5843,0.1381,0.7224,4.4649,14.06432521,86.92664123,5.1873,100.9909664
21C,5.0265,2.3629,2.564,2.373,2.572,3.082,7.7441,0.2011,0.199,0.4001,4.6621,7.959812991,92.75042276,5.0622,100.7102358
44C,5.2558,2.3587,2.6765,2.367,2.4747,3.0827,7.9778,0.3178,0.1077,0.4255,4.8951,8.095817953,93.13710567,5.3206,101.2329236
53R,4.6689,2.3667,2.5458,2.3897,2.4655,3.0671,7.4987,0.1791,0.0758,0.2549,4.4316,5.459530082,94.91743237,4.6865,100.3769625
50R,4.9812,2.3824,2.6651,2.4085,2.488,3.0859,7.7302,0.2827,0.0795,0.3622,4.6443,7.271340239,93.2365695,5.0065,100.5079097
38R,4.5962,2.3279,2.7707,2.4078,2.4593,3.0239,7.1405,0.4428,0.0515,0.4943,4.1166,10.75453636,89.56529307,4.6109,100.3198294
21R,5.454,2.3457,2.4782,2.3946,2.5906,3.0822,8.223,0.1325,0.196,0.3285,5.1408,6.02310231,94.25742574,5.4693,100.2805281
19R,5.354,2.3766,2.7357,2.4113,2.4991,3.0787,8.0299,0.3591,0.0878,0.4469,4.9512,8.347030258,92.47665297,5.3981,100.8236832
29R,5.4196,2.3979,2.6531,2.3883,2.6146,3.0702,8.0486,0.2552,0.2263,0.4815,4.9784,8.884419514,91.8591778,5.4599,100.7435973
40R,5.4136,2.3962,3.2996,2.3635,2.4027,3.0603,7.5799,0.9034,0.0392,0.9426,4.5196,17.41170386,83.48603517,5.4622,100.897739
28R,5.3493,2.3843,2.6177,2.416,2.5309,3.0908,8.1237,0.2334,0.1149,0.3483,5.0329,6.511132298,94.08520741,5.3812,100.5963397
43R,4.8408,2.3638,2.622,,,3.1096,7.6884,0.2582,0,0.2582,4.5788,5.333829119,94.58767146,4.837,99.92150058
18R,4.9851,2.3492,2.6486,2.3874,2.4899,3.0787,7.6957,0.2994,0.1025,0.4019,4.617,8.062024834,92.61599567,5.0189,100.6780205
35R,5.3642,2.4078,2.8649,,,3.0721,7.9886,0.4571,0,0.4571,4.9165,8.52130793,91.65392789,5.3736,100.1752358
4R,5.2766,2.3602,2.5657,,,3.0497,8.132,0.2055,0,0.2055,5.0823,3.894553311,96.31770458,5.2878,100.2122579
1R,4.6996,2.4067,2.7437,,,3.0497,7.4179,0.337,0,0.337,4.3682,7.170823049,92.94833603,4.7052,100.1191591
23R,5.4748,2.3684,2.6946,2.3467,2.439,3.0433,8.1476,0.3262,0.0923,0.4185,5.1043,7.644114854,93.2326295,5.5228,100.8767444
20R,4.983,2.3742,2.6699,2.3696,2.4746,3.0855,7.7016,0.2957,0.105,0.4007,4.6161,8.041340558,92.63696568,5.0168,100.6783062
34R,4.911,2.3916,2.8244,,,3.0529,7.5156,0.4328,0,0.4328,4.4627,8.812869069,90.87151293,4.8955,99.684382
33R,5.3259,2.3755,2.7177,,,3.0999,8.0967,0.3422,0,0.3422,4.9968,6.42520513,93.82076269,5.339,100.2459678
17R,4.899,2.3621,2.7756,,,3.0879,7.613,0.4135,0,0.4135,4.5251,8.440498061,92.36783017,4.9386,100.8083282
11R,5.2604,2.3749,2.731,,,3.0665,7.9913,0.3561,0,0.3561,4.9248,6.76944719,93.62025701,5.2809,100.3897042
22R,4.6979,2.3973,2.7756,,,3.1056,7.4342,0.3783,0,0.3783,4.3286,8.052534111,92.13904085,4.7069,100.191575
8R,5.2998,2.3695,2.7886,,,3.0876,8.0236,0.4191,0,0.4191,4.936,7.907845579,93.13559002,5.3551,101.0434356
7R,4.822,2.3699,2.6704,,,3.0575,7.5817,0.3005,0,0.3005,4.5242,6.231854002,93.82413936,4.8247,100.0559934
6R,5.3346,2.3928,2.9608,,,3.057,7.831,0.568,0,0.568,4.774,10.64747123,89.49124583,5.342,100.1387171
