"Sample","perC_OLF+FLF","perC_DF","C13_OLF+FLF","C13_DF","mesh.bag.size","total.wt.g","Species","N.treatment","total.fractionation.wt","FLF.OLF.wt","DF.wt","bulk.perC","bulk.C13","Myco..Association","total.fractionated.mgC","DF.mgC","OLF.FLF.mgC","recovery","mgC13.DF","mgC13.OLF.FLF","mgC13.total","perC13.DF","perC13.OLF.FLF"
1,31.0189050298123,4.46944281885421,14.7807919873464,-3.17773559746254,"r",48.86411042,"Black cherry",1,4.6996,0.337,4.3682,5.8433659935,12.4522501935,"AM",274.614828230526,195.23420121319,104.533709950467,109.15940449946,2.16268883710977,1.17858890565295,3.34127774276272,64.7264012036772,35.2735987963228
2,28.7223368246187,5.06211966428621,7.46893462526258,-9.12423941453165,"r",48.93411095,"Black cherry",1,4.5781,0.3386,4.2382,5.8187268045,1.0357520635,"AM",266.387131836814,214.542755611778,97.2538324881588,117.046415098962,2.3625563081498,1.08869798077944,3.45125428892924,68.4550053506138,31.5449946493862
3,27.9149450221365,5.0889848964383,18.6131305431376,-5.06533656261411,"r",49.34015009,"Black cherry",2,4.913,0.3231,4.5962,5.0457483225,6.532722431,"AM",247.897615084425,233.899923810097,90.1931873665231,130.736679764445,2.58615268279149,1.02070034137189,3.60685302416337,71.7010830623285,28.2989169376715
4,31.2708066942087,4.69017222274009,2.09552977666163,-17.0617184688558,"r",49.13986574,"Black cherry",2,5.2766,0.2055,5.0823,5.111306146,-14.440092355,"AM",269.703180099836,238.36862287632,64.2615077565988,112.208588167516,2.6041305832373,0.715574731057913,3.31970531429522,78.4446309744264,21.5553690255736
5,38.4853700094203,5.51343573812258,16.3659966759094,2.40757431135632,"r",49.04936794,"Black cherry",3,5.2085,0.3753,4.8351,5.669898328,10.178917945,"AM",295.31665441388,266.580131373965,144.435593645355,139.177970113155,2.96937858047333,1.63098683412497,4.6003654145983,64.5465808227022,35.4534191772978
6,31.6637855581571,5.9350755013088,16.0819893029013,-6.27213851845113,"r",46.90253034,"Black cherry",3,5.3346,0.568,4.774,6.043398066,1.2911781245,"AM",322.391113228836,283.340504432482,179.850301970332,143.673565243108,3.12904257806073,2.03033355674814,5.15937613480887,60.6476925950398,39.3523074049602
7,32.6049248208841,5.10167824855743,104.882014463368,-1.67173288007171,"r",50.47966666,"Red Oak",1,4.822,0.3005,4.5242,5.405671059,27.31908024,"EcM",260.66145846498,230.810127321235,97.9777990867566,126.135995840814,2.56059780941727,1.20155260231194,3.76215041172921,68.0620796402538,31.9379203597462
8,28.0781863062804,4.76724197165405,96.885553791472,-2.49685432760681,"r",49.55359122,"Red Oak",1,5.2998,0.4191,4.936,5.4050301145,31.281973855,"EcM",286.455786008271,235.311063720844,117.675678809621,123.225558627841,2.60839731265647,1.43280068888313,4.04119800153961,64.5451500189481,35.4548499810519
9,32.3941072006697,5.98224771790095,147.210311441539,0.66903011493503,"r",47.22156142,"Red Oak",2,5.2651,0.3928,4.8773,6.5863921355,56.4104077,"EcM",346.780132326211,291.772167945183,127.244053084231,120.830515352377,3.24441324406038,1.61948059752772,4.86389384158809,66.7040307565811,33.2959692434189
10,33.1793168618489,5.47665158587077,114.529730313044,3.88606726432952,"r",51.6447012,"Red Oak",2,5.4784,0.3503,5.1323,5.470545138,36.274427835,"EcM",299.698344840192,281.078189341645,116.227146967057,132.568411921179,3.1354356590083,1.43764592119931,4.5730815802076,68.5628630063922,31.4371369936078
