Analysis,Time.Code,Row,Identifier.1,PotNumber,SampleType,Species,Treatment,Amount,corrected.mg.C,corrected.percent.C,corrected.mg.N,corrected.percent.N,Area.All.Peak.No4,Ampl..44,BGD.44,BGD.45,BGD.46,rR.45CO2.44CO2,rR.46CO2.44CO2,d.13C.12C,d.13C.12C.gas.corr,C13.corrected,Area.All.Peak.No3,Ampl..28,BGD.28,BGD.29,rR.29N2.28N2,rd.29N2.28N2,d.15N.14N,d.15N.14N.gas.corr,N15.corrected
2944,5/25/22 16:15,11,1C,1,1 micron,Black cherry,low,11.74,0.815765687,6.9486004,0.045111353,0.38425343,26.554,1128,0.3,-3.4,2.2,1.1930923,1.8203218,34.708,-6.032846154,-6.074573015,18.192,1343,11.8,6.1,0.7414649,3.422,3.422,3.356692308,3.379023695
2945,5/25/22 16:24,12,1C REP,1,1 micron,Black cherry,low,12.244,0.812314116,6.634385136,0.044465225,0.3631593,26.433,1114,0.3,-3.4,2.1,1.1928942,1.8183259,34.595,-6.145846154,-6.188516142,17.924,1308,11.5,5.8,0.7415596,3.534,3.534,3.468692308,3.495462622
2946,5/25/22 16:32,13,2C,2,1 micron,Black cherry,low,12.085,0.926501211,7.666538772,0.050695056,0.419487429,30.436,1275,0.2,-3.5,1.9,1.1886814,1.8178425,30.7,-10.04084615,-10.05433077,20.508,1506,11.7,6,0.7416525,3.698,3.698,3.632692308,3.616523112
2947,5/25/22 16:41,14,2C REP,2,1 micron,Black cherry,low,12.318,0.982211277,7.973788578,0.053658083,0.435607103,32.389,1316,0.2,-3.5,1.8,1.1884756,1.819006,30.354,-10.38684615,-10.38760059,21.737,1587,11.6,6,0.741602,3.595,3.595,3.529692308,3.493344506
3114,6/20/22 18:56,28,3C,3,1 micron,Black cherry,mid,11.837,0.744294571,6.287864925,0.042428258,0.358437598,24.545,1044,0.4,-3.3,1.8,1.1878564,1.8244366,30.581,-10.12907143,-10.15831508,17.157,1236,11,5.6,0.7431894,6.917,6.917,6.710428571,6.767705549
3113,6/20/22 18:47,27,3C,3,1 micron,Black cherry,mid,11.784,0.757651163,6.42949052,0.042811132,0.363298814,25.023,1092,0.3,-3.3,1.8,1.1874799,1.8233162,30.26,-10.45007143,-10.47665873,17.318,1264,11,5.6,0.7431457,6.879,6.879,6.672428571,6.72821526
3116,6/20/22 19:13,30,4C,4,1 micron,Black cherry,mid,12.201,0.900102847,7.377287489,0.050180857,0.41128479,30.121,1271,0.4,-3.4,1.8,1.174664,1.8221914,18.355,-22.35507143,-22.36271176,20.417,1510,11.3,5.9,0.745208,9.647,9.647,9.440428571,9.469096552
3115,6/20/22 19:04,29,4C,4,1 micron,Black cherry,mid,11.903,0.899068968,7.55329722,0.049919266,0.419383907,30.084,1249,0.4,-3.3,1.8,1.1748035,1.8224075,18.499,-22.21107143,-22.21879532,20.307,1494,11.5,6.1,0.7450921,9.502,9.502,9.295428571,9.32500814
3277,7/11/22 16:30,12,5C,5,1 micron,Black cherry,high ,11.855,0.987042493,8.325959454,0.054547979,0.46012635,33.895,1391,0.4,-3.3,2.5,1.1817273,1.8279674,25.012,-15.63533333,-15.61288953,21.837,1611,11.5,5.9,0.7443569,8.599,8.599,8.340769231,8.218186678
3276,7/11/22 16:21,11,5C,5,1 micron,Black cherry,high ,11.995,1.023541221,8.533065615,0.056264801,0.469068786,35.218,1437,0.3,-3.3,2.5,1.1817669,1.8276016,25.078,-15.56933333,-15.54003602,22.54,1676,11.7,6.1,0.7444671,8.777,8.777,8.518769231,8.402353262
3279,7/11/22 16:47,14,6C,6,1 micron,Black cherry,high ,12.143,0.831833242,6.850310811,0.046948049,0.386626445,28.269,1211,0.4,-3.3,2.4,1.1807867,1.8294057,24.087,-16.56033333,-16.57162725,18.725,1389,11.5,5.9,0.7535827,21.127,21.127,20.86876923,20.73530266
3278,7/11/22 16:38,13,6C,6,1 micron,Black cherry,high ,11.99,0.791389452,6.600412442,0.044508355,0.371212298,26.803,1158,0.5,-3.2,2.5,1.1808726,1.830245,24.19,-16.45733333,-16.47864007,17.726,1307,11.7,6.1,0.7536364,21.18,21.18,20.92176923,20.79350314
2948,5/25/22 16:50,15,7C,7,1 micron,Red Oak,low,11.802,0.852820155,7.226064693,0.046326459,0.39253058,27.853,1172,0.3,-3.4,2,1.1810586,1.8210222,23.333,-17.40784615,-17.43968731,18.696,1372,11.8,6.1,0.7415048,3.46,3.46,3.394692308,3.408651712
2949,5/25/22 16:59,16,7C REP,7,1 micron,Red Oak,low,11.829,0.850823378,7.192690663,0.046343336,0.391777289,27.783,1164,0.3,-3.4,1.9,1.1811863,1.8221714,23.419,-17.32184615,-17.35420887,18.703,1372,11.7,6.1,0.7415892,3.568,3.568,3.502692308,3.516535272
2950,5/25/22 17:08,17,8C,8,1 micron,Red Oak,low,11.845,0.781135876,6.594646485,0.043339323,0.365887063,25.34,1079,0.3,-3.4,1.9,1.1842417,1.8227766,26.244,-14.49684615,-14.54820759,17.457,1276,11.8,6.2,0.7415496,3.481,3.481,3.415692308,3.450167248
2951,5/25/22 17:16,18,8C REP,8,1 micron,Red Oak,low,12.237,0.815822738,6.666852478,0.045668276,0.373198304,26.556,1109,0.3,-3.4,1.9,1.1841345,1.8239297,26.135,-14.60584615,-14.64755746,18.423,1314,11.7,6.2,0.7416004,3.6,3.6,3.534692308,3.55318978
3117,6/20/22 19:22,31,9C,9,1 micron,Red Oak,mid,12.192,0.804594833,6.599367066,0.044247503,0.362922435,26.703,1130,0.4,-3.3,1.9,1.1810175,1.8227367,24.236,-16.47407143,-16.49261323,17.922,1300,11.4,5.9,0.7448534,9.13,9.13,8.923428571,8.973696031
3118,6/20/22 19:31,32,9C,9,1 micron,Red Oak,mid,12.031,0.774612358,6.438470267,0.043258215,0.359556268,25.63,1084,0.4,-3.3,1.9,1.1811671,1.8231918,24.368,-16.34207143,-16.36552531,17.506,1255,11.4,6,0.7447009,8.942,8.942,8.735428571,8.789485223
3120,6/20/22 19:48,34,10C,10,1 micron,Red Oak,mid,12.077,1.038363131,8.597856514,0.056463792,0.467531602,35.069,1424,0.4,-3.3,1.8,1.1851536,1.8207724,28.129,-12.58107143,-12.58276925,23.059,1707,11.5,6.1,0.743679,7.534,7.534,7.327428571,7.33532964
3119,6/20/22 19:40,33,10C,10,1 micron,Red Oak,mid,11.89,1.022463757,8.599358766,0.055724203,0.46866445,34.5,1405,0.4,-3.3,1.7,1.1851369,1.8210917,28.105,-12.60507143,-12.60700753,22.748,1682,11.6,6.3,0.7435514,7.38,7.38,7.173428571,7.183661747
3280,7/11/22 16:56,15,11C,11,1 micron,Red Oak,high ,11.904,0.817404796,6.866639748,0.045810013,0.384828742,27.746,1186,0.4,-3.3,2.3,1.182656,1.8288284,25.831,-14.81633333,-14.83114141,18.259,1344,11.5,5.9,0.750935,17.496,17.496,17.23776923,17.09958523
3281,7/11/22 17:05,16,11C,11,1 micron,Red Oak,high ,11.971,0.829460687,6.928917272,0.046625687,0.389488657,28.183,1203,0.4,-3.3,2.2,1.1825708,1.8295808,25.72,-14.92733333,-14.93920069,18.593,1372,11.4,5.8,0.7510478,17.664,17.664,17.40576923,17.26335084
3283,7/11/22 17:22,18,12C,12,1 micron,Red Oak,high ,11.872,0.998932857,8.414191856,0.054059551,0.455353364,34.326,1427,0.4,-3.3,2.2,1.1846136,1.8269,27.658,-12.98933333,-12.96461166,21.637,1605,11.5,6,0.7487395,14.513,14.513,14.25476923,14.10533122
3282,7/11/22 17:13,17,12C,12,1 micron,Red Oak,high ,11.833,0.961330616,8.124149546,0.053317142,0.450580088,32.963,1354,0.3,-3.4,2.2,1.1848269,1.8274059,27.857,-12.79033333,-12.77296449,21.333,1574,11.5,5.9,0.7484114,14.062,14.062,13.80376923,13.65759951
2952,5/25/22 17:25,19,13C,13,1 micron,White pine,low,12.045,1.050158731,8.718627906,0.056052132,0.465356014,34.771,1401,0.3,-3.4,1.9,1.1853345,1.8211953,27.304,-13.43684615,-13.42341354,22.73,1671,12.2,6.7,0.7416021,3.608,3.608,3.542692308,3.49038176
2953,5/25/22 17:34,20,13C REP,13,1 micron,White pine,low,11.94,1.061397731,8.889428231,0.056691027,0.474799222,35.165,1409,0.3,-3.4,1.8,1.1854091,1.8215902,27.39,-13.35084615,-13.33520877,22.995,1693,12,6.5,0.7417206,3.77,3.77,3.704692308,3.648191013
2966,5/25/22 19:28,33,14C,14,1 micron,White pine,low,12.161,0.972141818,7.993929923,0.05497927,0.452094976,32.036,1246,0.5,-3.1,1.9,1.2269068,1.8242985,65.889,25.14815385,25.14517173,22.285,1536,13.2,7.8,0.7413328,3.669,3.669,3.603692308,3.558488327
2967,5/25/22 19:37,34,14C REP,14,1 micron,White pine,low,11.776,0.904622244,7.68191444,0.051767918,0.439605278,29.669,1155,0.8,-2.8,2.4,1.2265766,1.8245944,65.569,24.82815385,24.80939909,20.953,1432,14.5,9.5,0.7412556,3.263,3.263,3.197692308,3.174176072
3122,6/20/22 20:06,36,15C,15,1 micron,White pine,mid,11.99,0.877581062,7.319274914,0.048135693,0.401465331,29.315,1241,0.6,-3.1,2.1,1.2130278,1.8221261,53.949,13.23892857,13.22930968,19.557,1421,12.1,6.8,0.758015,27.009,27.009,26.80242857,26.83832356
3121,6/20/22 19:57,35,15C,15,1 micron,White pine,mid,11.768,0.841814457,7.153419923,0.04713927,0.400571636,28.035,1185,0.5,-3.2,1.9,1.213939,1.8223232,54.809,14.09892857,14.08544351,19.138,1386,11.5,6.2,0.7580128,26.971,26.971,26.76442857,26.80392775
3123,6/20/22 20:15,37,16C,16,1 micron,White pine,mid,11.883,0.940228507,7.912383297,0.053291409,0.448467635,31.557,1309,0.4,-3.3,1.8,1.1926962,1.8214307,35.096,-5.614071429,-5.618973854,21.725,1585,11.7,6.4,0.74889,14.616,14.616,14.40942857,14.42754463
3124,6/20/22 20:23,38,16C,16,1 micron,White pine,mid,11.717,0.907759136,7.747368231,0.05142698,0.43890911,30.395,1257,0.4,-3.2,1.8,1.1943063,1.8218633,36.553,-4.157071429,-4.164114108,20.941,1520,11.5,6.2,0.7494617,15.4,15.4,15.19342857,15.21780561
3285,7/11/22 17:40,20,17C,17,1 micron,White pine,high ,12.166,0.900885634,7.404945205,0.048677082,0.400107529,30.772,1295,0.4,-3.2,2.2,1.2076648,1.8280865,49.066,8.418666667,8.423301055,19.433,1426,11.5,6,0.7507111,17.143,17.143,16.88476923,16.7302438
3284,7/11/22 17:31,19,17C,17,1 micron,White pine,high ,12.088,0.889022858,7.354590152,0.049138646,0.406507659,30.342,1282,0.4,-3.2,2.2,1.2092043,1.828186,50.472,9.824666667,9.826669404,19.622,1458,11.5,6,0.7508634,17.388,17.388,17.12976923,16.97754599
3286,7/11/22 17:48,21,18C,18,1 micron,White pine,high ,12.084,0.819694587,6.783305091,0.047480435,0.392919853,27.829,1189,0.4,-3.2,2.2,1.208655,1.8291178,49.933,9.285666667,9.271420579,18.943,1383,11.7,6.2,0.7742136,49.022,49.022,48.76376923,48.60742466
